16:26:58.987 > MPU6050 Data - Accel X: -0.416733, Accel Y: -0.261057, Accel Z: 10.116563, Gyro X: 0.000000, Gyro Y: 1.572519, Gyro Z: 0.541985, Temp: 31.777058
16:26:59.007 > MPU6050 Data - Accel X: -0.579595, Accel Y: -0.246687, Accel Z: 10.169253, Gyro X: -0.099237, Gyro Y: 1.610687, Gyro Z: 0.465649, Temp: 31.871176
16:26:59.027 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.217947, Accel Z: 10.267448, Gyro X: -0.106870, Gyro Y: 1.618321, Gyro Z: 0.503817, Temp: 31.871176
16:26:59.046 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.285007, Accel Z: 10.142908, Gyro X: -0.198473, Gyro Y: 1.694656, Gyro Z: 0.656489, Temp: 31.871176
16:26:59.067 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.249082, Accel Z: 10.250684, Gyro X: -0.053435, Gyro Y: 1.610687, Gyro Z: 0.709924, Temp: 31.918234
16:26:59.087 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.318538, Accel Z: 10.231524, Gyro X: -0.091603, Gyro Y: 1.633588, Gyro Z: 0.549618, Temp: 31.918234
16:26:59.107 > MPU6050 Data - Accel X: -0.476609, Accel Y: -0.270637, Accel Z: 10.241103, Gyro X: -0.106870, Gyro Y: 1.687023, Gyro Z: 0.603053, Temp: 31.730000
16:26:59.127 > MPU6050 Data - Accel X: -0.423918, Accel Y: -0.263452, Accel Z: 10.214758, Gyro X: -0.190840, Gyro Y: 1.511450, Gyro Z: 0.396947, Temp: 31.871176
16:26:59.147 > MPU6050 Data - Accel X: -0.495769, Accel Y: -0.253872, Accel Z: 10.200388, Gyro X: -0.122137, Gyro Y: 1.694656, Gyro Z: 0.641221, Temp: 31.871176
16:26:59.167 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.308958, Accel Z: 10.224339, Gyro X: -0.122137, Gyro Y: 1.816794, Gyro Z: 0.488550, Temp: 31.871176
16:26:59.187 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.249082, Accel Z: 10.229129, Gyro X: 0.007634, Gyro Y: 1.610687, Gyro Z: 0.534351, Temp: 31.918234
16:26:59.207 > MPU6050 Data - Accel X: -0.464634, Accel Y: -0.285007, Accel Z: 10.279424, Gyro X: -0.061069, Gyro Y: 1.687023, Gyro Z: 0.679389, Temp: 31.918234
16:26:59.227 > MPU6050 Data - Accel X: -0.481399, Accel Y: -0.261057, Accel Z: 10.140512, Gyro X: -0.137405, Gyro Y: 1.572519, Gyro Z: 0.610687, Temp: 31.824116
16:26:59.247 > MPU6050 Data - Accel X: -0.493374, Accel Y: -0.261057, Accel Z: 10.193203, Gyro X: 0.015267, Gyro Y: 1.740458, Gyro Z: 0.679389, Temp: 31.777058
16:26:59.267 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.306563, Accel Z: 10.224339, Gyro X: -0.221374, Gyro Y: 1.687023, Gyro Z: 0.503817, Temp: 31.871176
16:26:59.287 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.270637, Accel Z: 10.229129, Gyro X: -0.198473, Gyro Y: 1.946565, Gyro Z: 0.541985, Temp: 31.777058
16:26:59.307 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.282612, Accel Z: 10.140512, Gyro X: -0.129771, Gyro Y: 1.786260, Gyro Z: 0.557252, Temp: 31.777058
16:26:59.326 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.308958, Accel Z: 10.171648, Gyro X: -0.061069, Gyro Y: 1.709924, Gyro Z: 0.709924, Temp: 31.730000
16:26:59.347 > MPU6050 Data - Accel X: -0.476609, Accel Y: -0.301772, Accel Z: 10.162067, Gyro X: -0.152672, Gyro Y: 1.648855, Gyro Z: 0.709924, Temp: 31.824116
16:26:59.367 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.280217, Accel Z: 10.269844, Gyro X: -0.290076, Gyro Y: 1.740458, Gyro Z: 0.587786, Temp: 31.824116
16:26:59.387 > MPU6050 Data - Accel X: -0.438289, Accel Y: -0.220342, Accel Z: 10.207573, Gyro X: -0.114504, Gyro Y: 1.732824, Gyro Z: 0.503817, Temp: 31.777058
16:26:59.407 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.263452, Accel Z: 10.186018, Gyro X: -0.167939, Gyro Y: 1.732824, Gyro Z: 0.740458, Temp: 31.871176
16:26:59.426 > MPU6050 Data - Accel X: -0.455054, Accel Y: -0.273032, Accel Z: 10.186018, Gyro X: -0.076336, Gyro Y: 1.625954, Gyro Z: 0.664122, Temp: 31.777058
16:26:59.447 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.296982, Accel Z: 10.250684, Gyro X: -0.190840, Gyro Y: 1.709924, Gyro Z: 0.709924, Temp: 31.824116
16:26:59.467 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.306563, Accel Z: 10.257869, Gyro X: -0.229008, Gyro Y: 1.603053, Gyro Z: 0.732824, Temp: 31.824116
16:26:59.487 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.294587, Accel Z: 10.205178, Gyro X: -0.045802, Gyro Y: 1.702290, Gyro Z: 0.564885, Temp: 31.824116
16:26:59.507 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.227527, Accel Z: 10.229129, Gyro X: -0.007634, Gyro Y: 1.709924, Gyro Z: 0.564885, Temp: 31.824116
16:26:59.527 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.237107, Accel Z: 10.250684, Gyro X: 0.015267, Gyro Y: 1.496183, Gyro Z: 0.549618, Temp: 31.871176
16:26:59.547 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.265847, Accel Z: 10.209969, Gyro X: -0.206107, Gyro Y: 1.740458, Gyro Z: 0.488550, Temp: 31.777058
16:26:59.567 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.301772, Accel Z: 10.221943, Gyro X: -0.099237, Gyro Y: 1.679389, Gyro Z: 0.694656, Temp: 31.777058
16:26:59.587 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.318538, Accel Z: 10.195599, Gyro X: -0.206107, Gyro Y: 1.694656, Gyro Z: 0.648855, Temp: 31.824116
16:26:59.607 > MPU6050 Data - Accel X: -0.452659, Accel Y: -0.241897, Accel Z: 10.207573, Gyro X: -0.183206, Gyro Y: 1.595420, Gyro Z: 0.633588, Temp: 31.824116
16:26:59.627 > MPU6050 Data - Accel X: -0.514929, Accel Y: -0.330513, Accel Z: 10.197993, Gyro X: -0.236641, Gyro Y: 1.748092, Gyro Z: 0.610687, Temp: 31.824116
16:26:59.647 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.234712, Accel Z: 10.212363, Gyro X: -0.099237, Gyro Y: 1.824427, Gyro Z: 0.610687, Temp: 31.871176
16:26:59.667 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.268242, Accel Z: 10.226733, Gyro X: -0.175573, Gyro Y: 1.702290, Gyro Z: 0.465649, Temp: 31.871176
16:26:59.687 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.337698, Accel Z: 10.274633, Gyro X: -0.137405, Gyro Y: 1.854962, Gyro Z: 0.801527, Temp: 31.871176
16:26:59.707 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.234712, Accel Z: 10.214758, Gyro X: -0.083969, Gyro Y: 1.854962, Gyro Z: 0.717557, Temp: 31.824116
16:26:59.727 > MPU6050 Data - Accel X: -0.443079, Accel Y: -0.320933, Accel Z: 10.118958, Gyro X: -0.267176, Gyro Y: 1.694656, Gyro Z: 0.503817, Temp: 31.824116
16:26:59.747 > MPU6050 Data - Accel X: -0.392783, Accel Y: -0.241897, Accel Z: 10.176438, Gyro X: -0.229008, Gyro Y: 1.656489, Gyro Z: 0.419847, Temp: 31.824116
16:26:59.767 > MPU6050 Data - Accel X: -0.524509, Accel Y: -0.299377, Accel Z: 10.245893, Gyro X: -0.030534, Gyro Y: 1.587786, Gyro Z: 0.580153, Temp: 31.824116
16:26:59.787 > MPU6050 Data - Accel X: -0.462239, Accel Y: -0.256267, Accel Z: 10.188413, Gyro X: -0.061069, Gyro Y: 1.534351, Gyro Z: 0.549618, Temp: 31.871176
16:26:59.807 > MPU6050 Data - Accel X: -0.428708, Accel Y: -0.301772, Accel Z: 10.135723, Gyro X: -0.236641, Gyro Y: 1.633588, Gyro Z: 0.450382, Temp: 31.777058
16:26:59.827 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.268242, Accel Z: 10.212363, Gyro X: -0.175573, Gyro Y: 1.671756, Gyro Z: 0.488550, Temp: 31.871176
16:26:59.847 > MPU6050 Data - Accel X: -0.445474, Accel Y: -0.261057, Accel Z: 10.197993, Gyro X: -0.167939, Gyro Y: 1.580153, Gyro Z: 0.625954, Temp: 31.824116
16:26:59.867 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.215552, Accel Z: 10.229129, Gyro X: -0.137405, Gyro Y: 1.770992, Gyro Z: 0.564885, Temp: 31.824116
16:26:59.887 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.352068, Accel Z: 10.212363, Gyro X: -0.183206, Gyro Y: 1.725191, Gyro Z: 0.541985, Temp: 31.824116
16:26:59.907 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.275427, Accel Z: 10.200388, Gyro X: -0.221374, Gyro Y: 1.717557, Gyro Z: 0.648855, Temp: 31.824116
16:26:59.927 > MPU6050 Data - Accel X: -0.440684, Accel Y: -0.268242, Accel Z: 10.293794, Gyro X: 0.038168, Gyro Y: 1.847328, Gyro Z: 0.786260, Temp: 31.777058
16:26:59.947 > MPU6050 Data - Accel X: -0.495769, Accel Y: -0.249082, Accel Z: 10.186018, Gyro X: 0.007634, Gyro Y: 1.702290, Gyro Z: 0.473282, Temp: 31.871176
16:26:59.967 > MPU6050 Data - Accel X: -0.431104, Accel Y: -0.227527, Accel Z: 10.312954, Gyro X: 0.000000, Gyro Y: 1.603053, Gyro Z: 0.511450, Temp: 31.777058
16:26:59.987 > MPU6050 Data - Accel X: -0.469424, Accel Y: -0.256267, Accel Z: 10.202784, Gyro X: -0.419847, Gyro Y: 1.480916, Gyro Z: 0.480916, Temp: 31.918234
16:27:00.007 > MPU6050 Data - Accel X: -0.474214, Accel Y: -0.313748, Accel Z: 10.186018, Gyro X: -0.015267, Gyro Y: 1.877863, Gyro Z: 0.618321, Temp: 31.824116
16:27:00.027 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.311353, Accel Z: 10.281818, Gyro X: -0.137405, Gyro Y: 1.900763, Gyro Z: 0.618321, Temp: 31.918234
16:27:00.047 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.263452, Accel Z: 10.324929, Gyro X: -0.076336, Gyro Y: 1.694656, Gyro Z: 0.748092, Temp: 31.871176
16:27:00.067 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.253872, Accel Z: 10.197993, Gyro X: -0.137405, Gyro Y: 1.587786, Gyro Z: 0.786260, Temp: 31.871176
16:27:00.087 > MPU6050 Data - Accel X: -0.447869, Accel Y: -0.311353, Accel Z: 10.281818, Gyro X: -0.274809, Gyro Y: 1.770992, Gyro Z: 0.763359, Temp: 31.871176
16:27:00.107 > MPU6050 Data - Accel X: -0.407153, Accel Y: -0.296982, Accel Z: 10.291399, Gyro X: 0.099237, Gyro Y: 1.770992, Gyro Z: 0.534351, Temp: 31.777058
16:27:00.127 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.241897, Accel Z: 10.111773, Gyro X: -0.297710, Gyro Y: 1.717557, Gyro Z: 0.679389, Temp: 31.824116
16:27:00.147 > MPU6050 Data - Accel X: -0.431104, Accel Y: -0.220342, Accel Z: 10.147697, Gyro X: 0.038168, Gyro Y: 1.671756, Gyro Z: 0.625954, Temp: 31.824116
16:27:00.167 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.253872, Accel Z: 10.205178, Gyro X: -0.091603, Gyro Y: 1.862595, Gyro Z: 0.793893, Temp: 31.824116
16:27:00.188 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.251477, Accel Z: 10.253078, Gyro X: 0.022901, Gyro Y: 1.793893, Gyro Z: 0.549618, Temp: 31.871176
16:27:00.207 > MPU6050 Data - Accel X: -0.407153, Accel Y: -0.304167, Accel Z: 10.183623, Gyro X: -0.213740, Gyro Y: 1.664122, Gyro Z: 0.396947, Temp: 31.871176
16:27:00.227 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.213157, Accel Z: 10.207573, Gyro X: -0.083969, Gyro Y: 1.572519, Gyro Z: 0.664122, Temp: 31.777058
16:27:00.247 > MPU6050 Data - Accel X: -0.481399, Accel Y: -0.229922, Accel Z: 10.229129, Gyro X: 0.076336, Gyro Y: 1.687023, Gyro Z: 0.687023, Temp: 31.777058
16:27:00.267 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.275427, Accel Z: 10.190808, Gyro X: 0.000000, Gyro Y: 1.717557, Gyro Z: 0.641221, Temp: 31.918234
16:27:00.287 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.241897, Accel Z: 10.176438, Gyro X: -0.068702, Gyro Y: 1.717557, Gyro Z: 0.656489, Temp: 31.730000
16:27:00.307 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.273032, Accel Z: 10.229129, Gyro X: -0.206107, Gyro Y: 1.496183, Gyro Z: 0.320611, Temp: 31.730000
16:27:00.327 > MPU6050 Data - Accel X: -0.469424, Accel Y: -0.299377, Accel Z: 10.095007, Gyro X: -0.160305, Gyro Y: 1.526718, Gyro Z: 0.511450, Temp: 31.777058
16:27:00.347 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.270637, Accel Z: 10.212363, Gyro X: -0.213740, Gyro Y: 1.885496, Gyro Z: 0.656489, Temp: 31.777058
16:27:00.367 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.251477, Accel Z: 10.200388, Gyro X: -0.038168, Gyro Y: 1.717557, Gyro Z: 0.442748, Temp: 31.871176
16:27:00.387 > MPU6050 Data - Accel X: -0.493374, Accel Y: -0.220342, Accel Z: 10.121352, Gyro X: -0.030534, Gyro Y: 1.793893, Gyro Z: 0.687023, Temp: 31.824116
16:27:00.407 > MPU6050 Data - Accel X: -0.488584, Accel Y: -0.227527, Accel Z: 10.181228, Gyro X: -0.175573, Gyro Y: 1.664122, Gyro Z: 0.503817, Temp: 31.824116
16:27:00.427 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.273032, Accel Z: 10.164463, Gyro X: -0.183206, Gyro Y: 1.702290, Gyro Z: 0.725191, Temp: 31.824116
16:27:00.447 > MPU6050 Data - Accel X: -0.531694, Accel Y: -0.222737, Accel Z: 10.221943, Gyro X: -0.122137, Gyro Y: 1.671756, Gyro Z: 0.625954, Temp: 31.918234
16:27:00.467 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.299377, Accel Z: 10.159673, Gyro X: -0.259542, Gyro Y: 1.687023, Gyro Z: 0.801527, Temp: 31.965294
16:27:00.487 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.268242, Accel Z: 10.284214, Gyro X: -0.244275, Gyro Y: 1.480916, Gyro Z: 0.572519, Temp: 31.777058
16:27:00.507 > MPU6050 Data - Accel X: -0.450264, Accel Y: -0.277822, Accel Z: 10.133327, Gyro X: -0.229008, Gyro Y: 1.740458, Gyro Z: 0.549618, Temp: 31.777058
16:27:00.527 > MPU6050 Data - Accel X: -0.457449, Accel Y: -0.229922, Accel Z: 10.255474, Gyro X: -0.007634, Gyro Y: 1.793893, Gyro Z: 0.709924, Temp: 31.824116
16:27:00.547 > MPU6050 Data - Accel X: -0.493374, Accel Y: -0.273032, Accel Z: 10.150093, Gyro X: -0.282443, Gyro Y: 1.763359, Gyro Z: 0.694656, Temp: 31.824116
16:27:00.567 > MPU6050 Data - Accel X: -0.493374, Accel Y: -0.292192, Accel Z: 10.221943, Gyro X: -0.129771, Gyro Y: 1.717557, Gyro Z: 0.656489, Temp: 31.918234
16:27:00.587 > MPU6050 Data - Accel X: -0.486189, Accel Y: -0.292192, Accel Z: 10.253078, Gyro X: -0.229008, Gyro Y: 1.763359, Gyro Z: 0.572519, Temp: 31.871176
16:27:00.607 > MPU6050 Data - Accel X: -0.514929, Accel Y: -0.253872, Accel Z: 10.092612, Gyro X: -0.038168, Gyro Y: 1.526718, Gyro Z: 0.534351, Temp: 31.871176
16:27:00.628 > MPU6050 Data - Accel X: -0.380808, Accel Y: -0.198787, Accel Z: 10.245893, Gyro X: 0.007634, Gyro Y: 1.839695, Gyro Z: 0.557252, Temp: 31.777058
16:27:00.647 > MPU6050 Data - Accel X: -0.479004, Accel Y: -0.306563, Accel Z: 10.162067, Gyro X: -0.175573, Gyro Y: 1.732824, Gyro Z: 0.503817, Temp: 31.871176
16:27:00.667 > MPU6050 Data - Accel X: -0.517324, Accel Y: -0.275427, Accel Z: 10.238708, Gyro X: -0.099237, Gyro Y: 1.656489, Gyro Z: 0.557252, Temp: 31.824116
16:27:00.687 > MPU6050 Data - Accel X: -0.510139, Accel Y: -0.361648, Accel Z: 10.174043, Gyro X: -0.190840, Gyro Y: 1.847328, Gyro Z: 0.595420, Temp: 31.824116
16:27:00.707 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.294587, Accel Z: 10.202784, Gyro X: 0.022901, Gyro Y: 1.526718, Gyro Z: 0.885496, Temp: 31.918234
16:27:00.727 > MPU6050 Data - Accel X: -0.471819, Accel Y: -0.205972, Accel Z: 10.169253, Gyro X: -0.076336, Gyro Y: 1.793893, Gyro Z: 0.496183, Temp: 31.777058
16:27:00.747 > MPU6050 Data - Accel X: -0.459844, Accel Y: -0.237107, Accel Z: 10.224339, Gyro X: -0.152672, Gyro Y: 1.488550, Gyro Z: 0.442748, Temp: 31.871176
16:27:00.767 > MPU6050 Data - Accel X: -0.428708, Accel Y: -0.268242, Accel Z: 10.253078, Gyro X: 0.000000, Gyro Y: 1.732824, Gyro Z: 0.717557, Temp: 31.777058
16:27:00.788 > MPU6050 Data - Accel X: -0.507744, Accel Y: -0.277822, Accel Z: 10.193203, Gyro X: -0.160305, Gyro Y: 1.557252, Gyro Z: 0.534351, Temp: 31.824116
16:27:00.807 > MPU6050 Data - Accel X: -0.459844, Accel Y: -0.227527, Accel Z: 10.303374, Gyro X: -0.076336, Gyro Y: 1.778626, Gyro Z: 0.511450, Temp: 31.918234
16:27:00.827 > MPU6050 Data - Accel X: -0.505349, Accel Y: -0.210762, Accel Z: 10.274633, Gyro X: -0.351145, Gyro Y: 1.679389, Gyro Z: 0.450382, Temp: 31.824116
16:27:00.847 > MPU6050 Data - Accel X: -0.474214, Accel Y: -0.217947, Accel Z: 10.269844, Gyro X: -0.198473, Gyro Y: 1.664122, Gyro Z: 0.442748, Temp: 31.824116
16:27:00.867 > MPU6050 Data - Accel X: -0.433499, Accel Y: -0.203577, Accel Z: 10.176438, Gyro X: -0.145038, Gyro Y: 1.786260, Gyro Z: 0.641221, Temp: 31.965294
16:27:00.887 > MPU6050 Data - Accel X: -0.500559, Accel Y: -0.261057, Accel Z: 10.221943, Gyro X: -0.122137, Gyro Y: 1.526718, Gyro Z: 0.610687, Temp: 31.777058
16:27:00.907 > MPU6050 Data - Accel X: -0.541274, Accel Y: -0.217947, Accel Z: 10.243499, Gyro X: -0.137405, Gyro Y: 1.671756, Gyro Z: 0.541985, Temp: 31.777058
16:27:00.927 > MPU6050 Data - Accel X: -0.483794, Accel Y: -0.313748, Accel Z: 10.140512, Gyro X: -0.137405, Gyro Y: 1.755725, Gyro Z: 0.671756, Temp: 31.918234
16:27:00.947 > MPU6050 Data - Accel X: -0.459844, Accel Y: -0.282612, Accel Z: 10.231524, Gyro X: 0.030534, Gyro Y: 1.725191, Gyro Z: 0.572519, Temp: 31.824116
16:27:00.967 > MPU6050 Data - Accel X: -0.467029, Accel Y: -0.220342, Accel Z: 10.212363, Gyro X: 0.000000, Gyro Y: 1.847328, Gyro Z: 0.580153, Temp: 31.824116
16:27:00.987 > MPU6050 Data - Accel X: -0.493374, Accel Y: -0.241897, Accel Z: 10.140512, Gyro X: -0.183206, Gyro Y: 1.603053, Gyro Z: 0.793893, Temp: 31.824116
16:27:01.007 > MPU6050 Data - Accel X: -0.490979, Accel Y: -0.273032, Accel Z: 10.241103, Gyro X: -0.290076, Gyro Y: 1.786260, Gyro Z: 0.587786, Temp: 31.777058
16:27:01.027 > MPU6050 Data - Accel X: -0.512534, Accel Y: -0.253872, Accel Z: 10.174043, Gyro X: -0.259542, Gyro Y: 1.671756, Gyro Z: 0.679389, Temp: 31.871176
16:27:01.047 > MPU6050 Data - Accel X: -0.471819, Accel Y: -0.323328, Accel Z: 10.133327, Gyro X: -0.015267, Gyro Y: 1.534351, Gyro Z: 0.671756, Temp: 31.777058
16:27:01.067 > MPU6050 Data - Accel X: -0.387993, Accel Y: -0.285007, Accel Z: 10.245893, Gyro X: -0.183206, Gyro Y: 1.778626, Gyro Z: 0.633588, Temp: 31.824116
16:27:01.087 > MPU6050 Data - Accel X: -0.431104, Accel Y: -0.256267, Accel Z: 10.238708, Gyro X: -0.221374, Gyro Y: 1.877863, Gyro Z: 0.664122, Temp: 31.824116
16:27:01.107 > MPU6050 Data - Accel X: -0.402363, Accel Y: -0.270637, Accel Z: 10.221943, Gyro X: -0.015267, Gyro Y: 1.816794, Gyro Z: 0.549618, Temp: 31.824116
