15:20:35.695 > X: -0.471819, Y: 0.234712, Z: 10.305769
15:20:35.715 > X: -0.383203, Y: 0.289797, Z: 10.279424
15:20:35.735 > X: -0.467029, Y: 0.287402, Z: 10.253078
15:20:35.755 > X: -0.500559, Y: 0.263452, Z: 10.267448
15:20:35.775 > X: -0.390388, Y: 0.253872, Z: 10.197993
15:20:35.795 > X: -0.402363, Y: 0.244292, Z: 10.293794
15:20:35.815 > X: -0.498164, Y: 0.277822, Z: 10.253078
15:20:35.835 > X: -0.395178, Y: 0.227527, Z: 10.284214
15:20:35.855 > X: -0.500559, Y: 0.263452, Z: 10.277029
15:20:35.876 > X: -0.419128, Y: 0.289797, Z: 10.195599
15:20:35.895 > X: -0.435894, Y: 0.241897, Z: 10.245893
15:20:35.915 > X: -0.445474, Y: 0.273032, Z: 10.207573
15:20:35.936 > X: -0.536484, Y: 0.308958, Z: 10.298584
15:20:35.955 > X: -0.213157, Y: 0.409548, Z: 10.159673
15:20:35.975 > X: -0.538879, Y: 0.311353, Z: 10.269844
15:20:35.995 > X: -0.486189, Y: 0.285007, Z: 10.341694
15:20:36.015 > X: -0.416733, Y: 0.225132, Z: 10.145303
15:20:36.035 > X: -0.423918, Y: 0.217947, Z: 10.255474
15:20:36.056 > X: -0.467029, Y: 0.253872, Z: 10.334509
15:20:36.076 > X: -0.421523, Y: 0.122146, Z: 10.202784
15:20:36.096 > X: -0.447869, Y: 0.167651, Z: 10.269844
15:20:36.115 > X: -0.421523, Y: 0.299377, Z: 10.272239
15:20:36.136 > X: -0.479004, Y: 0.222737, Z: 10.277029
15:20:36.155 > X: -0.431104, Y: 0.299377, Z: 10.293794
15:20:36.176 > X: -0.742456, Y: 0.227527, Z: 10.427915
15:20:36.195 > X: -0.613125, Y: 0.129331, Z: 10.490186
15:20:36.215 > X: -0.431104, Y: 0.201182, Z: 10.236314
15:20:36.235 > X: -0.493374, Y: 0.129331, Z: 10.257869
15:20:36.255 > X: -0.376018, Y: 0.249082, Z: 10.267448
15:20:36.275 > X: -0.479004, Y: 0.287402, Z: 10.229129
15:20:36.295 > X: -0.471819, Y: 0.232317, Z: 10.284214
15:20:36.315 > X: -0.450264, Y: 0.270637, Z: 10.207573
15:20:36.335 > X: -0.479004, Y: 0.222737, Z: 10.296189
15:20:36.355 > X: -0.586780, Y: 0.146096, Z: 10.468631
15:20:36.375 > X: -0.510139, Y: 0.100591, Z: 10.212363
15:20:36.395 > X: -0.483794, Y: 0.220342, Z: 10.202784
15:20:36.415 > X: -0.462239, Y: 0.366438, Z: 10.221943
15:20:36.435 > X: -0.328118, Y: 0.423918, Z: 10.245893
15:20:36.455 > X: -0.376018, Y: 0.328118, Z: 10.245893
15:20:36.475 > X: -0.462239, Y: 0.311353, Z: 10.257869
15:20:36.495 > X: -0.510139, Y: 0.177231, Z: 10.207573
15:20:36.515 > X: -0.435894, Y: 0.347278, Z: 10.245893
15:20:36.535 > X: -0.474214, Y: 0.349673, Z: 10.329720
15:20:36.555 > X: -0.438289, Y: 0.232317, Z: 10.310559
15:20:36.575 > X: -0.548459, Y: 0.182021, Z: 10.329720
15:20:36.596 > X: -0.505349, Y: 0.193997, Z: 10.248288
15:20:36.616 > X: -0.359253, Y: 0.277822, Z: 10.231524
15:20:36.636 > X: -0.366438, Y: 0.344883, Z: 10.183623
15:20:36.655 > X: -0.337698, Y: 0.296982, Z: 10.200388
15:20:36.676 > X: -0.366438, Y: 0.244292, Z: 10.097403
15:20:36.696 > X: -0.452659, Y: 0.292192, Z: 10.248288
15:20:36.715 > X: -0.577200, Y: 0.316143, Z: 10.298584
15:20:36.735 > X: -0.455054, Y: 0.138911, Z: 10.272239
15:20:36.755 > X: -0.534089, Y: 0.306563, Z: 10.269844
15:20:36.775 > X: -0.526904, Y: 0.275427, Z: 10.267448
15:20:36.796 > X: -0.335303, Y: 0.318538, Z: 10.178833
15:20:36.815 > X: -0.416733, Y: 0.325723, Z: 10.272239
15:20:36.835 > X: -0.376018, Y: 0.273032, Z: 10.255474
15:20:36.855 > X: -0.414338, Y: 0.287402, Z: 10.284214
15:20:36.875 > X: -0.529299, Y: 0.220342, Z: 10.212363
15:20:36.896 > X: -0.416733, Y: 0.287402, Z: 10.209969
